event_type,node,reason,station_id,task_id,time,vehicle_id
task_released,,,,23,3,
task_released,,,,28,3,
task_released,,,,6,5,
task_released,,,,24,8,
task_completed,,,,24,10,
task_completed,,,,6,13,
vehicle_became_idle,,reach_depot,,,13,3
task_completed,,,,23,14,
task_released,,,,13,16,
task_completed,,,,28,16,
task_completed,,,,13,19,
task_released,,,,11,22,
vehicle_became_idle,,reach_depot,,,22,2
vehicle_became_idle,,reach_depot,,,23,3
vehicle_became_idle,,reach_depot,,,26,1
vehicle_became_idle,,reach_depot,,,30,0
task_completed,,,,11,31,
task_released,,,,17,34,
vehicle_became_idle,,reach_depot,,,41,4
task_released,,,,26,42,
task_completed,,,,17,42,
task_released,,,,29,43,
task_released,,,,1,49,
task_completed,,,,26,49,
task_released,,,,20,50,
task_released,,,,27,51,
vehicle_became_idle,,reach_depot,,,51,0
task_released,,,,12,53,
task_completed,,,,29,55,
vehicle_became_idle,,reach_depot,,,57,1
task_released,,,,0,58,
task_completed,,,,1,59,
task_completed,,,,20,59,
task_completed,,,,27,60,
task_released,,,,2,63,
task_released,,,,8,66,
task_completed,,,,0,68,
vehicle_became_idle,,reach_depot,,,68,2
vehicle_became_idle,,reach_depot,,,69,0
vehicle_became_idle,,reach_depot,,,69,4
vehicle_became_idle,,reach_depot,,,70,3
task_released,,,,21,72,
task_completed,,,,8,72,
task_released,,,,16,73,
task_completed,,,,12,74,
vehicle_became_idle,,reach_depot,,,75,0
task_completed,,,,2,75,
vehicle_became_idle,,reach_depot,,,79,1
vehicle_became_idle,,reach_depot,,,79,4
task_completed,,,,21,81,
vehicle_became_idle,,reach_depot,,,82,2
vehicle_reached_station,,,1,,84,0
task_completed,,,,16,88,
vehicle_became_idle,,reach_depot,,,91,3
vehicle_became_idle,,reach_depot,,,97,1
charge_unreachable,0,,,,97,1
task_released,,,,9,98,
charge_unreachable,0,,,,98,1
charge_unreachable,0,,,,99,1
charge_unreachable,0,,,,100,1
charge_unreachable,0,,,,101,1
vehicle_finished_charging,,,1,,101,0
task_released,,,,3,102,
charge_unreachable,0,,,,102,1
task_released,,,,5,103,
charge_unreachable,0,,,,103,1
charge_unreachable,0,,,,104,1
charge_unreachable,0,,,,105,1
task_completed,,,,3,105,
task_released,,,,25,106,
charge_unreachable,0,,,,106,1
task_completed,,,,9,106,
charge_unreachable,0,,,,107,1
charge_unreachable,0,,,,108,1
charge_unreachable,0,,,,109,1
vehicle_became_idle,,reach_depot,,,109,3
task_completed,,,,5,109,
charge_unreachable,0,,,,110,1
charge_unreachable,0,,,,111,1
charge_unreachable,0,,,,112,1
charge_unreachable,0,,,,113,1
charge_unreachable,0,,,,114,1
task_completed,,,,25,115,
charge_unreachable,0,,,,115,1
vehicle_became_idle,,reach_depot,,,115,2
charge_unreachable,0,,,,115,2
task_released,,,,4,116,
task_released,,,,15,116,
charge_unreachable,0,,,,116,1
charge_unreachable,0,,,,116,2
vehicle_became_idle,,reach_depot,,,116,4
charge_unreachable,0,,,,117,1
charge_unreachable,0,,,,117,2
charge_unreachable,0,,,,118,1
charge_unreachable,0,,,,118,2
charge_unreachable,0,,,,119,1
charge_unreachable,0,,,,119,2
charge_unreachable,0,,,,120,1
charge_unreachable,0,,,,120,2
task_released,,,,7,121,
charge_unreachable,0,,,,121,1
charge_unreachable,0,,,,121,2
charge_unreachable,0,,,,122,1
charge_unreachable,0,,,,122,2
task_completed,,,,15,122,
charge_unreachable,0,,,,123,1
charge_unreachable,0,,,,123,2
task_completed,,,,4,123,
vehicle_became_idle,,reach_depot,,,124,0
charge_unreachable,0,,,,124,1
charge_unreachable,0,,,,124,2
charge_unreachable,0,,,,125,1
charge_unreachable,0,,,,125,2
charge_unreachable,0,,,,126,1
charge_unreachable,0,,,,126,2
charge_unreachable,0,,,,127,1
charge_unreachable,0,,,,127,2
charge_unreachable,0,,,,128,1
charge_unreachable,0,,,,128,2
charge_unreachable,0,,,,129,1
charge_unreachable,0,,,,129,2
vehicle_became_idle,,reach_depot,,,129,3
charge_unreachable,0,,,,129,3
charge_unreachable,0,,,,130,1
charge_unreachable,0,,,,130,2
charge_unreachable,0,,,,130,3
vehicle_became_idle,,reach_depot,,,130,4
charge_unreachable,0,,,,130,4
charge_unreachable,0,,,,131,1
charge_unreachable,0,,,,131,2
charge_unreachable,0,,,,131,3
charge_unreachable,0,,,,131,4
task_completed,,,,7,132,
charge_unreachable,0,,,,132,1
charge_unreachable,0,,,,132,2
charge_unreachable,0,,,,132,3
charge_unreachable,0,,,,132,4
charge_unreachable,0,,,,133,1
charge_unreachable,0,,,,133,2
charge_unreachable,0,,,,133,3
charge_unreachable,0,,,,133,4
charge_unreachable,0,,,,134,1
charge_unreachable,0,,,,134,2
charge_unreachable,0,,,,134,3
charge_unreachable,0,,,,134,4
charge_unreachable,0,,,,135,1
charge_unreachable,0,,,,135,2
charge_unreachable,0,,,,135,3
charge_unreachable,0,,,,135,4
task_released,,,,18,136,
charge_unreachable,0,,,,136,1
charge_unreachable,0,,,,136,2
charge_unreachable,0,,,,136,3
charge_unreachable,0,,,,136,4
charge_unreachable,0,,,,137,1
charge_unreachable,0,,,,137,2
charge_unreachable,0,,,,137,3
charge_unreachable,0,,,,137,4
charge_unreachable,0,,,,138,1
charge_unreachable,0,,,,138,2
charge_unreachable,0,,,,138,3
charge_unreachable,0,,,,138,4
charge_unreachable,0,,,,139,1
charge_unreachable,0,,,,139,2
charge_unreachable,0,,,,139,3
charge_unreachable,0,,,,139,4
vehicle_became_idle,,reach_depot,,,140,0
charge_unreachable,0,,,,140,1
charge_unreachable,0,,,,140,2
charge_unreachable,0,,,,140,3
charge_unreachable,0,,,,140,4
charge_unreachable,0,,,,141,1
charge_unreachable,0,,,,141,2
charge_unreachable,0,,,,141,3
charge_unreachable,0,,,,141,4
charge_unreachable,0,,,,142,1
charge_unreachable,0,,,,142,2
charge_unreachable,0,,,,142,3
charge_unreachable,0,,,,142,4
charge_unreachable,0,,,,143,1
charge_unreachable,0,,,,143,2
charge_unreachable,0,,,,143,3
charge_unreachable,0,,,,143,4
charge_unreachable,0,,,,144,1
charge_unreachable,0,,,,144,2
charge_unreachable,0,,,,144,3
charge_unreachable,0,,,,144,4
charge_unreachable,0,,,,145,1
charge_unreachable,0,,,,145,2
charge_unreachable,0,,,,145,3
charge_unreachable,0,,,,145,4
charge_unreachable,0,,,,146,1
charge_unreachable,0,,,,146,2
charge_unreachable,0,,,,146,3
charge_unreachable,0,,,,146,4
charge_unreachable,0,,,,147,1
charge_unreachable,0,,,,147,2
charge_unreachable,0,,,,147,3
charge_unreachable,0,,,,147,4
charge_unreachable,0,,,,148,1
charge_unreachable,0,,,,148,2
charge_unreachable,0,,,,148,3
charge_unreachable,0,,,,148,4
task_completed,,,,18,149,
charge_unreachable,0,,,,149,1
charge_unreachable,0,,,,149,2
charge_unreachable,0,,,,149,3
charge_unreachable,0,,,,149,4
charge_unreachable,0,,,,150,1
charge_unreachable,0,,,,150,2
charge_unreachable,0,,,,150,3
charge_unreachable,0,,,,150,4
charge_unreachable,0,,,,151,1
charge_unreachable,0,,,,151,2
charge_unreachable,0,,,,151,3
charge_unreachable,0,,,,151,4
charge_unreachable,0,,,,152,1
charge_unreachable,0,,,,152,2
charge_unreachable,0,,,,152,3
charge_unreachable,0,,,,152,4
charge_unreachable,0,,,,153,1
charge_unreachable,0,,,,153,2
charge_unreachable,0,,,,153,3
charge_unreachable,0,,,,153,4
charge_unreachable,0,,,,154,1
charge_unreachable,0,,,,154,2
charge_unreachable,0,,,,154,3
charge_unreachable,0,,,,154,4
charge_unreachable,0,,,,155,1
charge_unreachable,0,,,,155,2
charge_unreachable,0,,,,155,3
charge_unreachable,0,,,,155,4
charge_unreachable,0,,,,156,1
charge_unreachable,0,,,,156,2
charge_unreachable,0,,,,156,3
charge_unreachable,0,,,,156,4
charge_unreachable,0,,,,157,1
charge_unreachable,0,,,,157,2
charge_unreachable,0,,,,157,3
charge_unreachable,0,,,,157,4
vehicle_became_idle,,reach_depot,,,158,0
charge_unreachable,0,,,,158,1
charge_unreachable,0,,,,158,2
charge_unreachable,0,,,,158,3
charge_unreachable,0,,,,158,4
charge_unreachable,0,,,,159,1
charge_unreachable,0,,,,159,2
charge_unreachable,0,,,,159,3
charge_unreachable,0,,,,159,4
charge_unreachable,0,,,,160,1
charge_unreachable,0,,,,160,2
charge_unreachable,0,,,,160,3
charge_unreachable,0,,,,160,4
charge_unreachable,0,,,,161,1
charge_unreachable,0,,,,161,2
charge_unreachable,0,,,,161,3
charge_unreachable,0,,,,161,4
charge_unreachable,0,,,,162,1
charge_unreachable,0,,,,162,2
charge_unreachable,0,,,,162,3
charge_unreachable,0,,,,162,4
charge_unreachable,0,,,,163,1
charge_unreachable,0,,,,163,2
charge_unreachable,0,,,,163,3
charge_unreachable,0,,,,163,4
task_released,,,,19,164,
charge_unreachable,0,,,,164,1
charge_unreachable,0,,,,164,2
